id,sport,year,set,subset,card_number,player,team,league,parallel,insert,rookie,autograph,serial_number,grade,condition,quantity,purchase_price,value,currency,notes,image,image_back,source,timestamp
c_705088d9,,2023,Merlin,,67,Lewis Miley,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0001_Layer-2.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0007_Layer-11.png,,2026-02-04T01:59:04.872Z
c_e4a60fde,,2023,Chrome,,154,Leny Yoro,LOSC Lille,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0002_Layer-3.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0008_Layer-10.png,,2026-02-04T01:59:04.875Z
c_1e21a7a6,,2023,Select,,169,Alejandro Garnacho,Manchester United,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0003_Layer-4.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0009_Layer-9.png,,2026-02-04T01:59:04.876Z
c_6848330b,,2022,Merlin Chrome,,127,Pedro Goncalves,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0000_Layer-1.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0006_Layer-12.png,,2026-02-04T01:59:04.876Z
c_423fa259,,2023,Merlin,,113,Viktor Gyokeres,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards_1_0002_Layer-3.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards_1_0007_Layer-8.png,,2026-02-04T01:59:04.876Z
c_2a1e4235,,2024,Donruss Rookie Kings,,22,David Moller Wolfe,,FIFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0001_Layer-2.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0007_Layer-11.png,,2026-02-04T01:59:04.876Z
c_9b24b2da,,2023,Chrome,,1963,Topps 14 Paris Brunner,,Bundesliga,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/paris_brunner_0001_Landscape---Pop.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/paris_brunner_0000_Landscape---Pop.png,,2026-02-04T01:59:04.876Z
c_fd28e581,,2024,Chrome Wonderkids,,WK11,Kjell Watjen,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0005_Layer-6.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0011_Layer-7.png,,2026-02-04T01:59:04.876Z
c_ff4b4f8d,,2024,Chrome,,118,Kjell Watjen,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0004_Layer-5.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0010_Layer-8.png,,2026-02-04T01:59:04.876Z
c_a114d802,,2024,Finest Pop Art,,2024,Zlatan Ibrahimovic,,MLS,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-8_0009_Layer%2071.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-8_0004_Layer%2076.jpg,,2026-02-04T01:59:04.876Z
