Title,Player,Card Number,Set,Manufacturer,Season,League,Features,Images,Market Avg (eBay 90d USD),Last Sold Raw (USD),Last Sold Raw Title,Last Sold Raw URL,Last Sold Raw Ended,Team,id,sport,year,set,subset,card_number,player,team,league,parallel,insert,rookie,autograph,serial_number,grade,condition,quantity,purchase_price,value,currency,notes,image,image_back,source,timestamp,Custom label (SKU),Notes
2023-24 Topps Merlin UEFA Club Competitions 67 Lewis Miley,Lewis Miley,67,Merlin,Topps,2023-24,UEFA,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0001_Layer-2.png|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0007_Layer-11.png,,,,,,,c_705088d9,,2023,Merlin,,67,Lewis Miley,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0001_Layer-2.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0007_Layer-11.png,,2026-02-04T01:59:04.872Z,,
2023-24 Topps Chrome UEFA Club Competitions 154 Leny Yoro Refractor,Leny Yoro,154,Chrome,Topps,2023-24,UEFA,"Refractor, Chrome",https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0002_Layer-3.png|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0008_Layer-10.png,,,,,,LOSC Lille,c_e4a60fde,,2023,Chrome,,154,Leny Yoro,LOSC Lille,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0002_Layer-3.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0008_Layer-10.png,,2026-02-04T01:59:04.875Z,,
2023-24 Panini Select Premier League 169 Alejandro Garnacho,Alejandro Garnacho,169,Select,Panini,2023-24,Premier League,Select,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0003_Layer-4.png|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0009_Layer-9.png,,,,,,Manchester United,c_1e21a7a6,,2023,Select,,169,Alejandro Garnacho,Manchester United,Premier League,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0003_Layer-4.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0009_Layer-9.png,,2026-02-04T01:59:04.876Z,,
2022-23 Topps Merlin Chrome UEFA Club Competitions 127 Pedro Goncalves Aqua Prism Refractor,Pedro Goncalves,127,Merlin Chrome,Topps,2022-23,UEFA,"Refractor, Chrome",https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0000_Layer-1.png|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0006_Layer-12.png,,,,,,,c_6848330b,,2022,Merlin Chrome,,127,Pedro Goncalves,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0000_Layer-1.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0006_Layer-12.png,,2026-02-04T01:59:04.876Z,,
2023-24 Topps Merlin UEFA Club Competitions 113 Viktor Gyokeres Refractor,Viktor Gyokeres,113,Merlin,Topps,2023-24,UEFA,Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards_1_0002_Layer-3.png|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards_1_0007_Layer-8.png,,,,,,,c_423fa259,,2023,Merlin,,113,Viktor Gyokeres,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards_1_0002_Layer-3.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards_1_0007_Layer-8.png,,2026-02-04T01:59:04.876Z,,
2024-25 Panini Donruss FIFA Rookie Kings 22 David Moller Wolfe,David Moller Wolfe,22,Donruss Rookie Kings,Panini,2024-25,FIFA,Rookie,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0001_Layer-2.png|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0007_Layer-11.png,,,,,,,c_2a1e4235,,2024,Donruss Rookie Kings,,22,David Moller Wolfe,,FIFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0001_Layer-2.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0007_Layer-11.png,,2026-02-04T01:59:04.876Z,,
2023-24 Topps Chrome Bundesliga 1963 Topps 14 Paris Brunner,Topps 14 Paris Brunner,1963,Chrome,Topps,2023-24,Bundesliga,Chrome,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/paris_brunner_0001_Landscape---Pop.png|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/paris_brunner_0000_Landscape---Pop.png,,,,,,,c_9b24b2da,,2023,Chrome,,1963,Topps 14 Paris Brunner,,Bundesliga,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/paris_brunner_0001_Landscape---Pop.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/paris_brunner_0000_Landscape---Pop.png,,2026-02-04T01:59:04.876Z,,
2024-25 Topps Chrome UEFA Club Competitions Wonderkids WK11 Kjell Watjen,Kjell Watjen,WK11,Chrome Wonderkids,Topps,2024-25,UEFA,Chrome,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0005_Layer-6.png|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0011_Layer-7.png,,,,,,,c_fd28e581,,2024,Chrome Wonderkids,,WK11,Kjell Watjen,,UEFA,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0005_Layer-6.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0011_Layer-7.png,,2026-02-04T01:59:04.876Z,,
2024-25 Topps Chrome UEFA Club Competitions 118 Kjell Watjen Refractor,Kjell Watjen,118,Chrome,Topps,2024-25,UEFA,"Refractor, Chrome",https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0004_Layer-5.png|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0010_Layer-8.png,,,,,,,c_ff4b4f8d,,2024,Chrome,,118,Kjell Watjen,,UEFA,,,,,,,raw,2,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0004_Layer-5.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards2_0010_Layer-8.png,,2026-02-04T01:59:04.876Z,,
2024 Topps Finest MLS MLS Pop Art PA14 Zlatan Ibrahimovic,Zlatan Ibrahimovic,2024,Finest Pop Art,Topps,2024,MLS,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-8_0009_Layer%2071.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-8_0004_Layer%2076.jpg,,,,,,,c_a114d802,,2024,Finest Pop Art,,2024,Zlatan Ibrahimovic,,MLS,,,,,,,raw,1,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-8_0009_Layer%2071.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-8_0004_Layer%2076.jpg,,2026-02-04T01:59:04.876Z,,
