Title,Player,Card Number,Set,Manufacturer,Season,League,Features,Images,Market Avg (eBay 90d USD),Last Sold Raw (USD),Last Sold Raw Title,Last Sold Raw URL,Last Sold Raw Ended,Team,id,sport,year,set,subset,card_number,player,team,league,parallel,insert,rookie,autograph,serial_number,grade,condition,quantity,purchase_price,value,currency,notes,image,image_back,source,timestamp,Custom label (SKU),Notes
2024 Topps Finest MLS 137 Liel Abada Aqua Refractor,Liel Abada,137,Topps Finest MLS,Topps,2023-2024,MLS,Aqua Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-4_0001_Layer%205.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-5_0001_Layer%206.jpg,,,,,,Charlotte FC,c_f5655a90,,2023.0,Topps Finest MLS,,137,Liel Abada,Charlotte FC,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-4_0001_Layer%205.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-5_0001_Layer%206.jpg,,2026-02-04T01:59:04.877Z,,
2024 Topps Finest MLS 285 Zardes Refractor,Gyasi Zardes,285,Topps Finest MLS,Topps,2024,MLS,Oil Spill Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15_0011_Layer%20120.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15_0005_Layer%20126.jpg,,,,,,Austin FC,c_35b8ce18,,2024.0,Topps Finest MLS,,285,Gyasi Zardes,Austin FC,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15_0011_Layer%20120.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15_0005_Layer%20126.jpg,,2026-02-04T01:59:04.879Z,,
2022-23 Topps Merlin Chrome UEFA Club Competitions 16 Gabriel Jesus Refractor,Gabriel Jesus,16,2223 Topps Merlin Chrome UEFA Club Competitions,Topps,2022-23,Premier League,Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-24_0003_Layer%20133.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-24-back_0005_Layer%20132.jpg,,,,,,Arsenal,c_7dc56992,,2022.0,2223 Topps Merlin Chrome UEFA Club Competitions,,16,Gabriel Jesus,Arsenal,Premier League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-24_0003_Layer%20133.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-24-back_0005_Layer%20132.jpg,,2026-02-04T01:59:04.879Z,,
2023-24 Panini Select Premier League 223 Gabriel Martinelli Red Ice,Gabriel Martinelli,223,Panini Select Premier League,Panini,2023-24,Premier League,Red Ice,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-44_0006_Layer%2029.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-44_0000_Layer%2035.jpg,,,,,,Arsenal,c_1ed8ecf3,,2023.0,Panini Select Premier League,,223,Gabriel Martinelli,Arsenal,Premier League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-44_0006_Layer%2029.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-44_0000_Layer%2035.jpg,,2026-02-04T01:59:04.879Z,,
2024 Topps Finest MLS Gabriel Pec,Gabriel Pec,FD11,Topps Finest MLS,Topps,2024,MLS,-,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-20_0006_Layer%20174.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-20_0000_Layer%20180.jpg,,,,,,LA Galaxy,c_fb5a51df,,2024.0,Topps Finest MLS,,FD11,Gabriel Pec,LA Galaxy,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-20_0006_Layer%20174.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-20_0000_Layer%20180.jpg,,2026-02-04T01:59:04.879Z,,
2024 Finest MLS Gabriel Pirani #79 Neon Green Refractor RC,Gabriel Pirani,79,2024 Topps Finest MLS,Topps,2024,MLS,Neon Green Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/nexr_0005_Layer%2045.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/nexr_0000_Layer%2050.jpg,,,,,,DC United (on loan from Santos FC),c_be87ac96,,2024.0,2024 Topps Finest MLS,,79,Gabriel Pirani,DC United (on loan from Santos FC),MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/nexr_0005_Layer%2045.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/nexr_0000_Layer%2050.jpg,,2026-02-04T01:59:04.880Z,,
2023-24 Panini Select Premier League 222 Martin Odegaard Red Ice,Martin Odegaard,222,Panini Select Premier League,Panini,2023–24,Premier League,Red Ice,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-44_0010_Layer%2025.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-56_0002_Layer%2042.jpg,,,,,,Arsenal,c_2ed0bd33,,2023.0,Panini Select Premier League,,222,Martin Odegaard,Arsenal,Premier League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-44_0010_Layer%2025.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-56_0002_Layer%2042.jpg,,2026-02-04T01:59:04.879Z,,
2024-25 Panini Donruss FIFA #92 Martin Odegaard Silver Prizm Arsenal,Martin Odegaard,92,Panini Donruss,Panini,2024-2025,Premier League,Silver,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-6_0002_Layer%2011.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-7_0002_Layer%2017.jpg,,,,,,Arsenal,c_f904a6de,,2024.0,Panini Donruss,,92,Martin Odegaard,Arsenal,Premier League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-6_0002_Layer%2011.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-7_0002_Layer%2017.jpg,,2026-02-04T01:59:04.878Z,,
2024-25 Panini Donruss FIFA Magicians #4 Martin Odegaard Insert Arsenal,Martin Odegaard,4,Panini Donruss,Panini,2024-2025,Premier League,Optic,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-6_0001_Layer%2012.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-7_0001_Layer%2018.jpg,,,,,,Arsenal,c_4ec6cc33,,2024.0,Panini Donruss,,4,Martin Odegaard,Arsenal,Premier League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-6_0001_Layer%2012.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-7_0001_Layer%2018.jpg,,2026-02-04T01:59:04.878Z,,
2023-24 Panini Select Premier League 200 Mario Lemina Pink,Mario Lemina,200,Topps Merlin,Topps,2023-24,Premier League,Select,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0010_Layer%2034.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0004_Layer%2040.jpg,,,,,,VfB Stuttgart,c_e1b14a8e,,2023.0,Topps Merlin,,200,Mario Lemina,VfB Stuttgart,Premier League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0010_Layer%2034.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0004_Layer%2040.jpg,,2026-02-04T01:59:04.876Z,,
